,,,Hour,Minute,Temp,Rel Humidity,Global Solar Rad
2005,1,5,5,19,59,61,0
2005,1,5,5,29,59,62.5,0
2005,1,5,5,39,59,64,0
2005,1,5,5,49,59,65.5,0
2005,1,5,5,59,59,67,0
2005,1,5,6,9,59,67.5,0
2005,1,5,6,19,59,68,0
2005,1,5,6,29,59,68.5,0
2005,1,5,6,39,59,69,0
2005,1,5,6,49,59,69.5,0
2005,1,5,6,59,59,70,0
2005,1,5,7,9,59,69.33333333,9.166666667
2005,1,5,7,19,59,68.66666667,18.33333333
2005,1,5,7,29,59,68,27.5
2005,1,5,7,39,59,67.33333333,36.66666667
2005,1,5,7,49,59,66.66666667,45.83333333
2005,1,5,7,59,59,66,55
2005,1,5,8,9,59,65.66666667,57.66666667
2005,1,5,8,19,59,65.33333333,60.33333333
2005,1,5,8,29,59,65,63
2005,1,5,8,39,59,64.66666667,65.66666667
2005,1,5,8,49,59,64.33333333,68.33333333
2005,1,5,8,59,59,64,71
2005,1,5,9,9,59,64.5,74.16666667
2005,1,5,9,19,59,65,77.33333333
2005,1,5,9,29,59,65.5,80.5
2005,1,5,9,39,59,66,83.66666667
2005,1,5,9,49,59,66.5,86.83333333
2005,1,5,9,59,59,67,90
2005,1,5,10,9,59,67,83.83333333
2005,1,5,10,19,59,67,77.66666667
2005,1,5,10,29,59,67,71.5
2005,1,5,10,39,59,67,65.33333333
2005,1,5,10,49,59,67,59.16666667
2005,1,5,10,59,59,67,53
2005,1,5,11,9,59,65.5,53.66666667
2005,1,5,11,19,59,64,54.33333333
2005,1,5,11,29,59,62.5,55
2005,1,5,11,39,59,61,55.66666667
2005,1,5,11,49,59,59.5,56.33333333
2005,1,5,11,59,59,58,57
2005,1,5,12,9,59,58,78.5
2005,1,5,12,19,59,58,100
2005,1,5,12,29,59,58,121.5
2005,1,5,12,39,59,58,143
2005,1,5,12,49,59,58,164.5
2005,1,5,12,59,59,58,186
2005,1,5,13,9,59,58.5,191.3333333
2005,1,5,13,19,59,59,196.6666667
2005,1,5,13,29,59,59.5,202
2005,1,5,13,39,59,60,207.3333333
2005,1,5,13,49,59,60.5,212.6666667
2005,1,5,13,59,59,61,218
2005,1,5,14,9,59,63.16666667,181.6666667
2005,1,5,14,19,59,65.33333333,145.3333333
2005,1,5,14,29,59,67.5,109
2005,1,5,14,39,59,69.66666667,72.66666667
2005,1,5,14,49,59,71.83333333,36.33333333
2005,1,5,14,59,59,74,0
2005,1,5,15,9,59,75.16666667,0
2005,1,5,15,19,59,76.33333333,0
2005,1,5,15,29,59,77.5,0
2005,1,5,15,39,59,78.66666667,0
2005,1,5,15,49,59,79.83333333,0
2005,1,5,15,59,59,81,0
2005,1,5,16,9,59,81.66666667,0
2005,1,5,16,19,59,82.33333333,0
2005,1,5,16,29,59,83,0
2005,1,5,16,39,59,83.66666667,0
2005,1,5,16,49,59,84.33333333,0
2005,1,5,16,59,59,85,0
2005,1,5,17,9,59,86,0
2005,1,5,17,19,59,87,0
2005,1,5,17,29,59,88,0
2005,1,5,17,39,59,89,0
2005,1,5,17,49,59,90,0
2005,1,5,17,59,59,91,0
2005,1,5,18,9,59,90.83333333,0
2005,1,5,18,19,59,90.66666667,0
2005,1,5,18,29,59,90.5,0
2005,1,5,18,39,59,90.33333333,0
2005,1,5,18,49,59,90.16666667,0
2005,1,5,18,59,59,90,0
2005,1,5,19,9,59,90.16666667,0
2005,1,5,19,19,59,90.33333333,0
2005,1,5,19,29,59,90.5,0
2005,1,5,19,39,59,90.66666667,0
2005,1,5,19,49,59,90.83333333,0
2005,1,5,19,59,59,91,0
2005,1,5,20,9,59,91,0
2005,1,5,20,19,59,91,0
2005,1,5,20,29,59,91,0
2005,1,5,20,39,59,91,0
2005,1,5,20,49,59,91,0
2005,1,5,20,59,59,91,0
2005,1,5,21,9,59,91,0
2005,1,5,21,19,59,91,0
2005,1,5,21,29,59,91,0
2005,1,5,21,39,59,91,0
2005,1,5,21,49,59,91,0
2005,1,5,21,59,59,91,0
2005,1,5,22,9,59,91,0
2005,1,5,22,19,59,91,0
2005,1,5,22,29,59,91,0
2005,1,5,22,39,59,91,0
2005,1,5,22,49,59,91,0
2005,1,5,22,59,59,91,0
2005,1,5,23,9,59,90.16666667,0
2005,1,5,23,19,59,89.33333333,0
2005,1,5,23,29,59,88.5,0
2005,1,5,23,39,59,87.66666667,0
2005,1,5,23,49,59,86.83333333,0
2005,1,5,23,59,59,86,0
